# frequency(Hz)   Tsys/eff(K)
         900e+6          30.0
         950e+6          29.0
        1000e+6          28.0
        1050e+6          25.5
        1100e+6          23.0
        1150e+6          23.0
        1200e+6          23.0
        1250e+6          23.0
        1300e+6          23.5
        1350e+6          23.0
        1400e+6          22.0
        1450e+6          21.5
        1500e+6          21.0
        1550e+6          21.0
        1600e+6          21.0
        1650e+6          22.0
